
Log Starting [2014/10/08 18:24:55]
2014/10/08 18:24:55 WRN 78a0 BS stdin_monitor_thread.cpp 84 NLNET::CStdinMonitorThread::run : fgets failed
2014/10/08 18:29:11 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:13 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:29:15 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:17 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:19 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:29:21 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:29:23 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 10 NbDuplicated 0 
2014/10/08 18:29:26 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:29:28 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:29:30 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:29:32 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:34 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:36 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 9 NbDuplicated 0 
2014/10/08 18:29:38 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:40 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:42 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:44 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 10 NbDuplicated 0 
2014/10/08 18:29:46 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:48 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:51 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:29:53 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:29:55 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:29:57 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:29:59 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:01 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:30:02 INF 4298 0xcc/BS-0 bench_service.cpp 364 CClient::updateFullStat : Full Summary: NbPing 1000 NbPong 986 NbLost 14 (1.400000pc) NbDuplicated 0 (0.000000pc) MeanPongTime 14 
2014/10/08 18:30:03 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 18 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:05 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:30:07 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 12 NbDuplicated 0 
2014/10/08 18:30:09 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:11 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:13 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:30:16 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 11 NbDuplicated 0 
2014/10/08 18:30:18 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 20 NbPong 20 MeanPongTime 15 NbDuplicated 0 
2014/10/08 18:30:20 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 13 NbDuplicated 0 
2014/10/08 18:30:22 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
2014/10/08 18:30:24 INF 4298 0xcc/BS-0 bench_service.cpp 461 CClient::updateStat : NbPing 21 NbPong 21 MeanPongTime 14 NbDuplicated 0 
